Name,id_Number,gender,height_cm,weight_kg
Aaron Allen,31654196402029359,Female,213,98
Aaron Allen,98656201402143878,Female,167,50
Aaron Archie,42336199211309586,Female,154,67
Aaron Archie,91376193101084593,Male,184,73
Aaron Bigelow,44076193412134110,Male,206,76
Aaron Bigelow,13828200010242772,Male,174,71
Aaron Cave,16468200709121559,Female,154,65
Aaron Clester,99488194508034546,Male,189,46
Aaron Clester,53048197208012550,Female,195,113
Aaron Diaz,63399196403223005,Female,175,52
Aaron Eldridge,98622201104085203,Male,160,116
Aaron Eldridge,39283195011151603,Male,212,111
Aaron Hall,94174193805282364,Male,204,60
Aaron Hall,36141196411238246,Male,169,118
Aaron Hay,34774193501237328,Male,175,85
Aaron Hay,72439194304152691,Female,198,98
Aaron Huff,69773196307179762,Male,172,88
Aaron Jones,22363196908218633,Male,184,82
Aaron Kimmer,39393193504274332,Male,206,91
Aaron Mcgriff,28571196211186623,Female,185,85
Aaron Selby,98571194410035095,Male,173,55
Aaron Taylor,44605196908149428,Female,182,119
Aaron Turner,43262193503188083,Female,170,65
Aaron Wallin,38689197101147259,Male,157,58
Aaron Watkins,99453198307304264,Male,183,112
Aaron Yoder,16248197312194103,Female,151,51
Aaron Yoder,85503197904253196,Female,192,109
Abbey Carter,29530193210087760,Male,158,47
Abbey Olson,39662196108256461,Male,150,113
Abbie Lee,16807196510053133,Male,196,83
Abbie Nolin,49063196310097997,Female,169,56
Abigail Cantu,57718198201229841,Male,205,48
Abraham Burns,78478198504119354,Male,158,114
Abraham Meza,37103193906117005,Male,209,45
Abraham Rutledge,93505197301309622,Female,217,74
Abraham Swanson,74269201902076163,Female,154,71
Abram Magsayo,41946198004202489,Female,197,89
Abram Magsayo,74855198710046111,Male,197,98
Ada Cooney,99352195007026126,Male,207,90
Ada Daus,12995200606074956,Female,177,49
Ada Daus,62739194002284872,Female,155,84
Ada George,49649198403043568,Male,186,74
Ada Hughes,40405198907148461,Male,199,64
Ada Keith,13278195304199512,Female,187,104
Ada Rowan,86631195208252999,Male,166,73
Ada Werre,98783197911139555,Female,155,49
Adalberto Mills,46930194002078964,Female,155,49
Adam Banner,60872197106028892,Male,205,115
Adam Chandler,66495201607066304,Female,175,98
Adam Crumrine,25329196606038036,Female,188,76
Adam Fiecke,46843196006069598,Female,164,51
Adam Floyd,39998192206292230,Male,208,94
Adam Garner,66915193910227603,Male,195,76
Adam Gore,13365200303011504,Male,202,59
Adam Guy,79079198102125052,Male,154,110
Adam Hassett,60229194708064365,Female,198,58
Adam Kinloch,23186193101127709,Female,197,76
Adam Kinloch,75350200108044744,Female,193,94
Adam Lane,19867197401129589,Male,206,77
Adam Lane,49983200802228273,Male,214,73
Adam Leich,74230198911052626,Female,215,72
Adam Morris,38485193909237326,Male,161,97
Adam Moss,92910194410144481,Female,218,117
Adam Moss,96688195706181526,Female,177,59
Adam Olive,26735200711257485,Male,159,81
Adam Sheets,16998196503169837,Male,191,99
Adam Stokes,85776197208105695,Female,186,55
Adam Underhill,64539200511233359,Female,186,84
Adam Walker,95646192608296480,Female,165,46
Adam Wright,75152197004286369,Male,193,110
Adelaide Rodriguez,26305193707075162,Male,211,84
Adele Gummer,51668201003198364,Male,193,65
Adele Meil,87470195510031789,Male,204,68
Adele Meil,78581198902208954,Female,199,91
Adele Olson,90748195012026526,Male,210,74
Adele Salcido,14740193708133370,Female,182,95
Adele Webster,83626195511296429,Male,166,95
Adele Webster,21371194601025158,Male,151,92
Adeline Maldonado,33591198006307713,Female,153,84
Adella Noto,45368198804135452,Female,152,89
Adella Noto,28745197005286180,Female,215,116
Adolfo Burton,84712201909152830,Male,172,100
Adolfo Morgan,69625192711074845,Female,215,58
Adrian Downing,47821198301233820,Male,160,100
Adrian Flood,12248193206223018,Male,170,118
Adrian Hayes,77140192012119900,Female,192,71
Adrian Hayes,48432199409253807,Male,177,69
Adrian Staten,93149193709028626,Female,194,112
Adrian Taylor,35943195007265081,Male,150,79
Adrian Tews,91113194307055436,Female,158,116
Adrian Tews,97503199410093254,Male,200,55
Adriana Grotts,30868195508261375,Female,156,66
Adrianna Anderson,21265194208106240,Female,179,64
Adrienne Davis,72462197408214200,Male,202,89
Adrienne Kittel,20497195501056278,Female,168,83
Agatha Parker,93679200204226094,Female,210,48
Agatha Parker,47819194407229495,Male,165,88
Agnes Brashears,54574200811184616,Male,209,51
Agnes Coleman,49588198404247461,Male,183,99
Agnes Coleman,79418195607227075,Male,207,99
Agnes Eliason,13528201105295586,Female,201,97
Agnes Jin,88272199806131988,Female,168,86
Agnes Livingston,91484194511236439,Male,202,95
Agnes Mackerl,95631193005127373,Male,160,46
Agnes Mackerl,63828194402037707,Female,172,74
Agnes Oconnell,92244198201056785,Female,156,95
Agnes Poole,10235201508301978,Male,161,58
Agnes Romero,88458198302032629,Male,189,58
Agnes Sanchez,64458193902035762,Female,160,79
Agnes Savino,24945195303186597,Female,187,113
Agnes Severn,46191198409202781,Female,154,96
Agnes Woods,69436193304136167,Female,213,77
Agustin Hicks,25736198601052952,Male,192,95
Agustin Hicks,54424201303079912,Female,207,82
Agustin Leone,77159195111174855,Female,162,91
Agustin Mallory,73601199011301514,Female,154,81
Agustina Shao,68756201702185866,Male,153,109
Agustina Shao,69204196208255078,Male,186,61
Agustina Stratton,55955195208246343,Male,202,70
Agustina Stratton,44198199303039736,Female,208,89
Aida Osorio,22227200709305914,Male,150,104
Aida Radden,85979193101067415,Female,182,46
Aida Studer,59849195405191220,Male,185,50
Aileen Jackson,13281193802196939,Female,176,107
Aimee Holcomb,55944201006042292,Female,208,113
Aisha Tatro,95600200708176906,Female,165,88
Aisha Watkins,87779198007082451,Male,158,118
Akilah Davis,28500194802174057,Female,213,115
Al Kubie,15194201104177947,Male,182,92
Al Riina,85375198806276439,Female,175,105
Alan Adam,91837199905317337,Male,157,76
Alan Allen,22611200409192156,Female,213,68
Alan Allen,21578195703118523,Female,163,95
Alan Bivens,65693195311049903,Female,150,110
Alan Boltz,46145201912013638,Female,203,102
Alan Bulow,95369196111094474,Female,166,98
Alan Cavallaro,81126195207145995,Female,194,109
Alan Cavallaro,28367196608304698,Female,166,119
Alan Deblauw,35214200403172380,Male,193,106
Alan Erickson,53330201212177062,Male,174,110
Alan Gamble,89473199911247719,Female,217,104
Alan Gasper,71660196301036321,Female,156,103
Alan Gray,37879201107253228,Male,213,52
Alan Hudson,75482197709239918,Female,183,73
Alan Inyart,46783194310177424,Male,204,96
Alan Kim,39521193210195222,Female,163,63
Alan Kretschmer,35201201204246970,Male,187,110
Alan Lamay,62128196701233820,Female,174,84
Alan Mcnett,14888194002039905,Female,181,118
Alan Ramos,79196196106068114,Female,208,85
Alan Rodriques,24977198712047798,Female,161,70
Alan Tan,84365199009113052,Female,199,76
Alan Tan,37418197204023153,Female,154,81
Alan Whirry,18578200607141478,Male,175,91
Alan White,97271196308206098,Female,187,58
Alana Zielinski,93182196504012229,Male,156,116
Alanna Burkholder,55533199906127324,Male,152,81
Alba Villa,84463197411142139,Male,200,48
Albert Antonelli,95719199708018764,Male,151,100
Albert Babbitt,22407194607267592,Female,161,117
Albert Babbitt,39127200105265946,Male,155,98
Albert Barham,34063200903185257,Female,162,83
Albert Butler,30618199802272937,Male,186,100
Albert Castaneda,35662193005094234,Female,157,88
Albert Colvin,39801194012319083,Female,168,63
Albert Colvin,60882195010094575,Male,159,94
Albert Coplan,42913199602031172,Male,204,83
Albert Gardner,90888198704076824,Male,192,84
Albert Green,52292199011095723,Male,158,91
Albert Guzman,96338196507211746,Female,212,101
Albert Hill,51254199503249716,Male,162,92
Albert Hoffpavir,58287197101217463,Male,176,95
Albert Holsapple,78746194507205680,Male,165,74
Albert Jackson,22667192101026398,Female,203,80
Albert Lemmo,64470193508218099,Male,184,110
Albert Lopez,87856199409221250,Male,172,106
Albert Momphard,67857202003204470,Male,180,106
Albert Patterson,85432196208278724,Male,193,84
Albert Reid,55503192504148453,Female,210,56
Albert Rodriguez,79318199804062001,Female,194,89
Albert Rodriguez,73258197512251396,Male,151,48
Albert Shelman,61186193207142291,Male,211,52
Albert Shelman,27301200812217199,Male,200,83
Albert Todd,50191192407181034,Male,219,82
Albert Turnipseed,40646200311059719,Female,175,118
Albert Wade,47439198411077281,Male,189,62
Albert Walker,65907194708252537,Male,170,93
Alberta Ford,15540198301193583,Female,186,49
Alberta Mercer,78586195012257565,Female,209,59
Alberta Ramirez,94027196510125551,Male,169,85
Alberta Ramirez,69163196512168440,Male,201,59
Alberto Heppler,23256201502058647,Male,181,57
Alberto Marquez,73583197012253101,Female,163,97
Alberto Michaels,83697201404127243,Male,216,103
Alberto Sheppard,74122195303106075,Female,205,115
Alden Gordy,20132200503233518,Male,156,61
Alden Hutchins,74980196607313355,Male,199,56
Alden Hutchins,63012195603108824,Male,196,66
Alejandra Carlen,16927199703121584,Male,206,86
Alejandra Keitsock,11824200701084567,Male,214,58
Alejandra Thurston,29063193407219346,Female,152,48
Alejandro Ackles,65778195210202623,Male,184,87
Alejandro Bush,86760198107252209,Female,201,94
Alejandro Bush,29681192210261768,Female,164,86
Alejandro Owens,47594199402061348,Female,186,84
Alejandro Owens,37148200611048342,Female,177,61
Alejandro Rodriquez,46150198904144928,Female,169,92
Alejandro Shoults,56452194010183790,Female,158,99
Alejandro Shoults,22545197203128964,Female,202,72
Alejandro Taylor,74997194209167369,Male,160,54
Alesia Palomaki,19838200002152157,Female,194,83
Alessandra Guetersloh,91438195408082224,Female,216,48
Aleta Marshall,80306199202136780,Female,178,80
Aletha Hollins,59244193210058084,Male,207,48
Alethia Bouchard,34239195904033818,Male,196,94
Alex Brown,35179195805212651,Male,214,119
Alex Brown,71969199702076013,Male,212,98
Alex Carroll,78122198005134426,Male,183,110
Alex Harrison,81687197408173596,Male,195,98
Alex Hayes,83159193606107371,Male,166,106
Alex Larson,85854193305015866,Female,165,114
Alex Larson,90677200906041191,Male,168,63
Alex Patterson,95731195505062867,Male,156,65
Alex Seal,85027200106127689,Male,188,95
Alexa Maples,86582201803069489,Male,193,50
Alexander Evans,87651201101135701,Female,209,65
Alexander Evans,78548200501065149,Female,193,111
Alexander Fleming,45009199610082019,Male,199,84
Alexander Grove,76592194704288996,Female,213,103
Alexander Heuck,42452200007283469,Male,173,100
Alexander Jackson,31535199901201575,Male,198,119
Alexander Jackson,11981194109162769,Male,190,117
Alexander Johnston,85112193308114841,Female,210,84
Alexander Jones,21404198303185295,Male,191,110
Alexander Jordan,81385196607308816,Male,205,60
Alexander Jordan,76052199307138669,Female,185,55
Alexander Juarez,56568193612049045,Female,151,77
Alexander Medlin,30039194003201376,Female,216,119
Alexander Medlin,23840198005228134,Male,197,67
Alexander Poole,61729193803027629,Male,169,63
Alexander Pritts,12668200807165711,Male,192,87
Alexander Ramirez,59570199208153600,Female,166,49
Alexander Ramirez,51813196408084238,Female,160,100
Alexander Showers,11414195304069478,Female,209,75
Alexander Whittenbeck,15655200204278674,Female,210,78
Alexandra Baker,17288196412216439,Female,214,50
Alexandra Davison,72061198609034646,Male,219,70
Alexandra Gomez,35910197201051248,Male,203,98
Alexandria Bailey,50915201806305677,Male,158,88
Alexandria Coulter,70879197206052786,Female,194,64
Alexandria Coulter,10235197108222395,Male,150,59
Alexandria Horowitz,29317198211266414,Male,150,57
Alexis Carpenter,85642200609285607,Male,188,89
Alexis Floyd,11887197306262448,Male,167,102
Alexis Floyd,38668196807127928,Female,172,116
Alfonso Farley,35536193212127382,Female,153,117
Alfonso Letendre,97767199308227364,Male,179,116
Alfonzo Shaver,95077193906294341,Female,208,49
Alfred Alvarado,71252194911012683,Male,154,106
Alfred Bostian,33028200102257434,Female,205,106
Alfred Crews,74057202004089320,Female,183,80
Alfred Drummond,44985198909014671,Male,201,88
Alfred Groves,16641198304057077,Female,150,55
Alfred Ponce,84017201510013619,Male,156,55
Alfredia Bader,66078193606241405,Female,173,115
Alfredo Henderson,15583199701151562,Female,158,98
Alfredo Mullen,44676201301092774,Male,211,72
Alfredo Ryan,66064200508297808,Male,214,78
Alia Powell,22761194309084986,Male,156,115
Alice Albert,25007198509191505,Female,200,57
Alice Bracy,70117197907292875,Male,154,60
Alice Burrell,46962201207157595,Male,154,69
Alice Castillo,30821196505149627,Male,180,76
Alice Castillo,68137196001128391,Male,195,65
Alice Champion,59699194503038925,Female,173,78
Alice Chandler,50480195306192434,Male,198,59
Alice Clarkson,97835196411124004,Male,210,63
Alice Cowley,49354200403117642,Male,219,93
Alice Dill,19254194307225867,Female,199,67
Alice Estabrook,76105199606029207,Male,192,80
Alice Estabrook,28623199404108517,Female,218,56
Alice Hamlin,20485194111257336,Male,192,99
Alice Harter,18386194611144531,Male,209,52
Alice Hayes,75926200501045870,Male,213,83
Alice Holt,98242193609133013,Female,209,69
Alice Jackson,86500197410139422,Female,169,75
Alice Jones,94639194203204786,Male,189,79
Alice Jory,95487197005249389,Female,204,62
Alice Kite,68032192009142541,Male,205,57
Alice Kline,35446192204115524,Female,201,65
Alice Kline,71766194612225207,Male,170,65
Alice Kuttner,93985199506196856,Male,181,49
Alice Loomis,63637201805317226,Male,198,55
Alice Lopez,76970195701269157,Female,203,48
Alice Lugo,69731196604048688,Female,178,53
Alice Murphy,89971199903288242,Male,169,56
Alice Murphy,90480196001137930,Female,167,82
Alice Neace,69799194704086316,Male,198,94
Alice Palasik,85264194407104094,Female,175,54
Alice Palasik,32591197102278167,Male,189,77
Alice Parsons,64978201006023649,Male,195,117
Alice Perkins,59675199711071592,Female,170,103
Alice Rakel,27853198910057904,Male,216,57
Alice Roberts,45066201107252887,Male,170,52
Alice Schneider,98642197112292680,Male,184,105
Alice Shones,88909198712237430,Male,212,93
Alice Smith,78691201907198074,Male,184,66
Alice Soehl,97756196306286015,Female,169,105
Alice Soehl,52694198702188438,Male,193,66
Alice Spriggs,61072196809259697,Female,194,84
Alice Spriggs,67824194809125068,Female,181,45
Alice Swanson,93719200903243489,Female,218,68
Alice Widrick,51230194012012192,Male,168,111
Alicia Evans,83548200503244648,Male,217,60
Alicia Evans,26871199803147548,Male,165,80
Alicia Foster,29074199504249378,Female,210,94
Alicia Ganison,61990194307123147,Male,178,66
Alicia Grove,26145194707041910,Male,157,51
Alicia Husseini,59860201810138336,Female,216,84
Alicia James,16386193205076609,Male,211,50
Alicia Jones,89751201503205165,Female,189,67
Alicia Lauzon,34917194701127416,Male,182,94
Alicia Lord,27460196002085071,Male,180,54
